comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
15	15716	16	15716
17	41027	22	41027
14	3127	26	3127
14	40985	23	40985
16	59997	19	59997
16	37757	19	37757
15	12927	16	12927
16	34374	26	34374
15	26027	16	26027
13	14810	18	14810
16	49305	19	49305
12	9358	16	9358
18	42704	15	42704
13	3591	16	3591
15	18148	26	18148
14	23823	14	23823
15	26611	23	26611
16	36483	16	36483
16	55512	20	55512
15	48651	25	48651
15	29312	22	29312
15	38332	25	38332
14	2673	20	2673
15	53242	18	53242
14	1764	18	1764
17	11518	17	11518
16	28854	27	28854
15	17002	26	17002
12	3585	13	3585
14	9880	23	9880
15	43063	17	43063
18	27216	20	27216
15	10069	19	10069
14	20820	21	20820
18	45748	25	45748
17	59347	20	59347
15	55193	19	55193
14	11774	15	11774
17	20850	20	20850
14	21131	18	21131
18	56859	29	56859
16	36141	22	36141
15	1073	12	1073
16	15006	18	15006
17	59963	22	59963
15	27683	17	27683
15	27840	18	27840
17	55475	18	55475
17	52686	28	52686
16	57151	30	57151
15	10158	16	10158
15	31710	23	31710
13	26744	24	26744
16	48273	19	48273
13	19580	16	19580
16	55597	22	55597
12	5275	7	5275
15	23164	22	23164
15	41829	26	41829
15	6227	17	6227
16	45396	29	45396
14	1767	15	1767
15	27046	22	27046
11	1113	7	1113
18	58590	24	58590
15	19268	15	19268
11	15268	19	15268
14	19439	21	19439
14	16750	22	16750
17	12126	13	12126
15	55579	18	55579
13	17822	28	17822
16	3483	23	3483
18	31894	20	31894
15	21857	20	21857
14	31322	21	31322
17	50894	24	50894
16	4825	17	4825
16	50229	23	50229
17	58955	22	58955
16	31568	25	31568
16	38501	22	38501
14	18534	19	18534
14	3517	17	3517
14	20127	19	20127
18	41698	19	41698
15	45345	15	45345
16	35473	26	35473
15	24276	8	24276
15	30740	33	30740
13	13591	20	13591
17	27673	26	27673
15	38235	20	38235
13	14703	26	14703
15	26262	26	26262
14	33854	22	33854
16	29970	24	29970
15	22053	23	22053
15	26956	16	26956
16	18447	19	18447
17	53983	18	53983
16	44777	24	44777
15	21929	29	21929
17	2228	18	2228
16	42985	19	42985
14	29603	21	29603
14	5947	23	5947
13	10230	21	10230
15	34427	30	34427
14	56175	26	56175
14	9185	23	9185
15	5994	30	5994
15	11028	26	11028
16	4070	14	4070
14	9510	22	9510
13	31154	28	31154
13	45767	28	45767
15	31206	23	31206
15	42979	23	42979
17	46394	21	46394
16	38298	19	38298
15	56569	18	56569
14	14066	13	14066
18	52884	21	52884
12	11272	29	11272
17	16680	16	16680
14	3089	19	3089
14	17593	18	17593
16	15084	18	15084
14	30044	21	30044
17	12392	20	12392
12	9066	19	9066
15	51173	23	51173
12	10672	17	10672
17	11294	22	11294
16	34157	28	34157
16	40274	24	40274
16	53592	11	53592
15	20739	21	20739
13	14700	21	14700
15	26119	20	26119
13	6275	17	6275
17	57046	31	57046
16	37146	21	37146
16	10344	24	10344
17	42907	21	42907
13	8299	17	8299
12	32463	18	32463
15	14113	17	14113
17	51277	20	51277
16	18856	27	18856
16	28762	22	28762
16	47846	22	47846
14	9274	24	9274
16	57997	23	57997
17	35469	26	35469
14	2305	15	2305
15	1085	15	1085
15	29413	26	29413
12	17388	20	17388
17	31129	25	31129
13	41804	21	41804
14	2805	15	2805
17	22301	28	22301
18	52476	18	52476
14	14098	24	14098
16	32809	24	32809
14	44042	26	44042
17	29899	21	29899
16	47449	26	47449
13	10160	18	10160
15	36173	28	36173
16	44494	22	44494
16	47305	17	47305
15	46517	22	46517
15	27400	30	27400
15	31955	18	31955
12	18979	18	18979
14	17864	21	17864
16	23232	29	23232
14	37834	25	37834
17	22977	26	22977
15	47429	20	47429
17	23459	20	23459
14	20973	23	20973
16	22897	19	22897
15	25763	22	25763
18	58410	19	58410
16	52309	13	52309
16	43150	22	43150
16	29538	27	29538
16	10465	23	10465
15	45955	28	45955
17	28190	24	28190
12	2940	19	2940
16	36404	25	36404
16	37350	26	37350
15	35688	28	35688
15	20445	19	20445
14	7249	7	7249
18	59488	20	59488
16	6956	22	6956
16	43421	26	43421
16	20333	24	20333
17	54260	14	54260
16	6289	20	6289
14	24085	20	24085
16	26215	15	26215
11	1619	12	1619
15	41948	11	41948
14	25798	28	25798
16	39453	20	39453
17	41277	17	41277
14	49578	19	49578
17	39263	20	39263
16	38601	27	38601
15	12474	19	12474
15	5026	23	5026
15	37010	19	37010
15	41134	23	41134
14	24527	18	24527
16	42899	24	42899
16	27950	15	27950
14	10481	20	10481
16	47440	30	47440
15	30889	23	30889
16	23237	25	23237
17	24790	29	24790
17	42929	27	42929
16	43681	27	43681
15	8390	16	8390
16	42416	24	42416
17	50637	24	50637
16	28162	24	28162
17	39101	27	39101
16	21248	22	21248
16	34451	17	34451
17	3185	20	3185
14	23814	17	23814
13	36069	23	36069
14	21484	27	21484
15	25963	24	25963
17	51873	19	51873
9	2760	19	2760
15	15540	21	15540
15	7488	21	7488
15	17713	22	17713
12	4365	19	4365
13	12513	25	12513
15	54722	21	54722
15	21851	23	21851
14	37039	27	37039
16	13973	17	13973
15	49800	20	49800
17	23872	20	23872
12	1412	17	1412
15	20689	19	20689
16	47108	28	47108
15	2553	16	2553
13	3617	18	3617
15	30788	18	30788
13	10942	14	10942
13	22384	23	22384
16	57776	23	57776
16	39104	29	39104
14	1484	13	1484
16	55376	17	55376
16	49906	21	49906
17	41020	24	41020
15	19189	27	19189
12	2326	15	2326
14	2504	16	2504
15	21504	20	21504
17	30551	20	30551
16	41615	14	41615
14	37043	20	37043
15	38038	30	38038
16	59327	16	59327
16	41408	23	41408
18	50550	21	50550
17	54049	27	54049
10	3258	19	3258
10	3940	21	3940
17	44373	23	44373
17	53057	25	53057
16	27811	20	27811
16	45784	23	45784
12	13745	12	13745
15	14918	27	14918
15	24689	28	24689
16	53713	16	53713
16	22058	26	22058
18	35630	26	35630
14	52449	30	52449
15	19833	22	19833
16	51085	29	51085
17	53932	24	53932
17	51560	23	51560
16	17342	29	17342
16	34952	22	34952
14	47101	22	47101
15	19668	17	19668
16	13807	23	13807
15	8604	12	8604
13	26570	17	26570
17	55421	22	55421
13	45646	26	45646
11	4607	20	4607
17	54748	29	54748
13	27053	24	27053
15	31508	23	31508
16	25148	22	25148
14	6662	14	6662
15	35447	18	35447
15	9520	16	9520
17	59719	22	59719
16	39610	31	39610
17	31655	21	31655
17	49815	24	49815
16	54527	16	54527
17	56343	18	56343
17	43528	17	43528
15	16584	23	16584
9	8325	21	8325
14	35976	17	35976
15	12769	21	12769
17	59409	26	59409
17	6259	17	6259
15	40680	24	40680
13	16751	24	16751
15	17562	16	17562
13	27780	23	27780
14	12770	18	12770
15	31368	23	31368
16	36383	16	36383
16	39339	21	39339
14	22029	24	22029
13	20297	25	20297
17	21536	20	21536
14	25433	26	25433
17	51804	20	51804
16	23035	20	23035
17	32095	23	32095
16	3602	21	3602
11	8906	24	8906
11	8165	19	8165
15	43211	25	43211
16	40560	23	40560
16	57979	17	57979
16	37738	27	37738
17	13255	19	13255
12	17858	24	17858
